BN,ventBN,BS,IEnd,BE,I:E ratio,iTime,eTime,inst_RR,tvi,tve,tve:tvi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS.1,x01,tvi1,tve1,x02,tvi2,tve2,x0_index,abs_time_at_BS,abs_time_at_x0,abs_time_at_BE,rel_time_at_BS,rel_time_at_x0,rel_time_at_BE,vc,pc,prvc,ps,cpap_sbt,other_mode
1,13,0.02,0.94,3.0,0.442307692308,0.92,2.08,20.0,414.351666667,457.000277778,1.10292853762,50.33,-56.78,25.67,25.67,22.7315217391,9.358,20.5780333333,20.4652333333, ,0.02,0.94,414.351666667,456.333333333,0.94,414.351666667,456.333333333,46,2016-06-27 00-27-19.313697,2016-06-27 00-27-20.233697,2016-06-27 00-27-22.293697,0.02,0.94,3.0,0,0,1,0,0,0
2,14,3.02,3.94,6.0,0.442307692308,0.92,2.08,20.0,427.876944444,473.533055556,1.10670383554,52.32,-55.81,25.71,25.71,22.8043478261,9.246,20.6451166667,20.5002, ,3.02,3.94,427.876944444,472.573333333,3.94,427.876944444,472.573333333,46,2016-06-27 00-27-22.313697,2016-06-27 00-27-23.233697,2016-06-27 00-27-25.293697,3.02,3.94,6.0,0,0,1,0,0,0
3,15,6.02,6.94,9.0,0.442307692308,0.92,2.08,20.0,424.064444444,422.721388889,0.996832897516,49.2,-53.29,25.63,25.63,22.4491304348,9.258,20.3218833333,20.3568333333, ,6.02,6.94,424.064444444,421.73,6.94,424.064444444,421.73,46,2016-06-27 00-27-25.313697,2016-06-27 00-27-26.233697,2016-06-27 00-27-28.293697,6.02,6.94,9.0,0,0,1,0,0,0
4,16,9.02,9.94,12.0,0.442307692308,0.92,2.08,20.0,394.994722222,417.846111111,1.05785239043,47.87,-53.34,24.9,24.9,22.1215217391,9.27,20.0253166667,20.2602666667, ,9.02,9.94,394.994722222,416.978888889,9.94,394.994722222,416.978888889,46,2016-06-27 00-27-28.313697,2016-06-27 00-27-29.233697,2016-06-27 00-27-31.293697,9.02,9.94,12.0,0,0,1,0,0,0
5,17,12.02,12.94,15.0,0.442307692308,0.92,2.08,20.0,419.089444444,433.476388889,1.03432905466,51.7,-54.87,25.53,25.53,22.5158695652,9.072,20.38235,19.9786, ,12.02,12.94,419.089444444,432.676666667,12.94,419.089444444,432.676666667,46,2016-06-27 00-27-31.313697,2016-06-27 00-27-32.233697,2016-06-27 00-27-34.293697,12.02,12.94,15.0,0,0,1,0,0,0
6,18,15.02,15.94,18.0,0.442307692308,0.92,2.08,20.0,427.153333333,450.710555556,1.05514933487,52.95,-55.68,25.79,25.79,22.7393478261,9.008,20.5916333333,20.02565, ,15.02,15.94,427.153333333,450.166666667,15.94,427.153333333,450.166666667,46,2016-06-27 00-27-34.313697,2016-06-27 00-27-35.233697,2016-06-27 00-27-37.293697,15.02,15.94,18.0,0,0,1,0,0,0
7,19,18.02,18.94,21.0,0.442307692308,0.92,2.08,20.0,407.762222222,432.690277778,1.06113380347,49.57,-53.83,25.28,25.28,22.342173913,9.058,20.2298666667,19.9473666667, ,18.02,18.94,407.762222222,432.15,18.94,407.762222222,432.15,46,2016-06-27 00-27-37.313697,2016-06-27 00-27-38.233697,2016-06-27 00-27-40.293697,18.02,18.94,21.0,0,0,1,0,0,0
8,20,21.02,21.94,24.0,0.442307692308,0.92,2.08,20.0,406.403055556,442.065833333,1.0877522383,49.15,-53.34,25.23,25.23,22.4576086957,9.538,20.3324166667,20.05125, ,21.02,21.94,406.403055556,439.311111111,21.94,406.403055556,439.311111111,46,2016-06-27 00-27-40.313697,2016-06-27 00-27-41.233697,2016-06-27 00-27-43.293697,21.02,21.94,24.0,0,0,1,0,0,0
9,21,24.02,24.94,27.0,0.442307692308,0.92,2.08,20.0,358.748611111,379.061111111,1.05662042826,43.6,-50.08,24.84,24.84,22.2573913043,8.996,20.1436833333,19.82695, ,24.02,24.94,358.748611111,378.061111111,24.94,358.748611111,378.061111111,46,2016-06-27 00-27-43.313697,2016-06-27 00-27-44.233697,2016-06-27 00-27-46.293697,24.02,24.94,27.0,0,0,1,0,0,0
10,22,27.02,27.94,30.0,0.442307692308,0.92,2.08,20.0,473.1075,503.625555556,1.06450554167,56.58,-59.48,27.45,27.45,24.2586956522,9.078,21.9727166667,20.2243166667, ,27.02,27.94,473.1075,502.282222222,27.94,473.1075,502.282222222,46,2016-06-27 00-27-46.313697,2016-06-27 00-27-47.233697,2016-06-27 00-27-49.293697,27.02,27.94,30.0,0,0,1,0,0,0
