BN,vent BN,rel time,abs time,TVi,e-time,i-time,TVe,TVe/TVi ratio,PEEP-prev,minP,PEEP,dbl,mt,bs,dtpi,dtpa,fa,co,su,vd,aNOS,wNOS,vc,pc,prvc,ps,cpap_sbt,other_mode
1,46842,0.04,50:57.4,1147,8.42,1.26,1243,1.08,N/A,3.8,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,46843,9.72,51:07.1,1070,4.06,1.14,810,0.76,5.92,4,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,46844,14.92,51:12.3,436,2.92,0.5,480,1.1,4.94,3.05,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,46845,18.34,51:15.7,723,3.94,0.84,718,0.99,4.63,3.18,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,46846,23.12,51:20.5,533,3.24,0.8,563,1.06,4.48,4.83,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,46847,27.16,51:24.5,981,3.8,1.32,879,0.9,4.75,4.41,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,46848,32.28,51:29.7,823,3.52,1.4,811,0.99,4.07,5.13,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,46849,37.2,51:34.6,402,2.36,0.78,446,1.11,3.98,5.05,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,46850,40.34,51:37.7,470,3.12,0.86,551,1.17,4.33,5.03,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,46851,44.32,51:41.7,569,2.2,0.9,482,0.85,4.28,5.13,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,46852,47.42,51:44.8,423,2.46,0.76,472,1.12,4.44,5.15,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,46853,50.64,51:48.0,551,3.54,0.9,620,1.13,4.51,4.94,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,46854,55.08,51:52.5,520,1.62,0.74,370,0.71,4.63,4.93,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,46855,57.44,51:54.8,811,3.24,1.02,818,1.01,4.52,4.28,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,46856,61.7,51:59.1,496,2.56,0.88,551,1.11,3.96,5.02,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,46857,65.14,52:02.5,708,3.2,1.06,720,1.02,4.46,5.01,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,46858,69.4,52:06.8,574,2.6,0.86,577,1.01,4.21,5.05,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,46859,72.86,52:10.2,671,2.46,1.08,611,0.91,4.25,5.2,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,46860,76.4,52:13.8,412,2.36,0.74,497,1.21,4.01,5.25,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,46861,79.5,52:16.9,434,2.16,0.8,449,1.03,4.26,5.25,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,46862,82.46,52:19.8,438,2.32,0.76,477,1.09,4.06,5.06,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,46863,85.54,52:22.9,477,2.26,0.82,473,0.99,4.58,4.98,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,46864,88.62,52:26.0,396,2.18,0.78,432,1.09,4.16,5.24,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,46865,91.58,52:29.0,402,1.92,0.78,398,0.99,4.39,5.11,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,46866,94.28,52:31.7,463,2.18,0.84,457,0.99,4.5,4.99,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,46867,97.3,52:34.7,407,2.1,0.8,426,1.05,4.25,5.32,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,46868,100.2,52:37.6,471,2.4,0.86,496,1.05,4.44,5.31,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,46869,103.46,52:40.8,459,2.28,0.84,466,1.02,4.41,5.1,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,46870,106.58,52:44.0,486,2.46,0.88,504,1.04,4.37,5.26,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,46871,109.92,52:47.3,503,2.14,0.94,465,0.92,4.22,5.32,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,46872,113,52:50.4,416,2.36,0.8,478,1.15,4.18,5.26,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,46873,116.16,52:53.5,512,2.26,0.92,485,0.95,4.65,5.12,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,46874,119.34,52:56.7,458,2.26,0.84,477,1.04,4.21,5.27,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,46875,122.44,52:59.8,370,2.08,0.82,408,1.1,4.07,5.34,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,46876,125.34,53:02.7,391,2.22,0.82,416,1.06,4.65,5.31,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,46877,128.38,53:05.8,413,2.1,0.84,406,0.98,4.26,5.33,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,46878,131.32,53:08.7,483,2.26,0.94,464,0.96,4.36,5.36,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,46879,134.52,53:11.9,385,2.26,0.8,427,1.11,4.33,5.39,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,46880,137.58,53:15.0,434,1.96,0.86,399,0.92,4.27,5.15,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,46881,140.4,53:17.8,366,2.2,0.78,411,1.12,4.16,5.44,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,46882,143.38,53:20.8,385,2.02,0.8,386,1,4.31,5.19,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,46883,146.2,53:23.6,388,2.1,0.8,410,1.06,4.49,5.21,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,46884,149.1,53:26.5,356,2.16,0.8,380,1.07,4.18,5.19,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,46885,152.06,53:29.4,403,2.1,0.82,395,0.98,4.19,5.28,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,46886,154.98,53:32.4,460,2.12,0.92,434,0.94,4.25,5.32,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,46887,158.02,53:35.4,405,2.24,0.84,431,1.06,4.46,5.34,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,46888,161.1,53:38.5,417,2.04,0.84,407,0.98,4.38,5.21,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,46889,163.98,53:41.4,396,2.34,0.8,437,1.1,4.47,5.23,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,46890,167.12,53:44.5,416,2.18,0.88,410,0.99,4.34,5.3,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,46891,170.18,53:47.6,406,2.2,0.84,413,1.02,4.18,5.32,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,46892,173.22,53:50.6,502,2.34,1,475,0.95,4.57,5.34,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,46893,176.56,53:53.9,402,2.32,0.84,437,1.09,4.21,5.37,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,46894,179.72,53:57.1,448,2.26,0.9,443,0.99,4.5,5.27,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,46895,182.88,54:00.3,379,2.1,0.84,395,1.04,4.09,5.47,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,46896,185.82,54:03.2,403,1.44,0.84,321,0.8,4.48,5.29,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,46897,188.1,54:05.5,368,2.32,0.78,453,1.23,4.54,5.22,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,46898,191.2,54:08.6,434,2.06,0.86,418,0.96,4.42,5.07,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,46899,194.12,54:11.5,433,2,0.9,420,0.97,4.47,5.23,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,46900,197.02,54:14.4,508,2.12,0.86,484,0.95,4.35,4.97,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,46901,200,54:17.4,689,3.02,1.24,707,1.03,4.35,5.14,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,46902,204.26,54:21.6,645,3.28,0.98,710,1.1,4.73,5.05,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,46903,208.52,54:25.9,744,3.12,1.1,712,0.96,4.51,4.78,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,46904,212.74,54:30.1,408,1.96,0.72,399,0.98,4.69,5.17,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,46905,215.42,54:32.8,710,2.82,1.12,697,0.98,4.64,4.97,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,46906,219.36,54:36.7,424,2.56,0.82,513,1.21,4.43,5.12,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,46907,222.74,54:40.1,433,2.6,0.84,482,1.11,4.55,5.1,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,46908,226.18,54:43.6,556,2.54,0.96,530,0.95,4.69,4.96,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,46909,229.68,54:47.1,404,2.3,0.84,433,1.07,4.54,5.3,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,46910,232.82,54:50.2,396,2,0.84,391,0.99,4.24,5.22,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,46911,235.66,54:53.0,360,2.58,0.8,435,1.21,4.65,5.21,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,46912,239.04,54:56.4,381,2.42,0.86,396,1.04,3.82,5.43,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,46913,242.32,54:59.7,390,2.42,0.88,390,1,4.62,5.3,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73,46914,245.62,55:03.0,396,2.14,0.86,375,0.95,4.27,5.37,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,46915,248.62,55:06.0,437,2.22,0.9,416,0.95,4.5,5.16,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,46916,251.74,55:09.1,395,2.16,0.86,400,1.01,4.35,5.37,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,46917,254.76,55:12.1,389,2.08,0.84,395,1.02,4.49,5.39,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,46918,257.68,55:15.1,515,2.2,1,471,0.91,4.69,5.1,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,46919,260.88,55:18.3,515,2.04,0.96,469,0.91,4.59,5.04,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,46920,263.88,55:21.3,430,2.14,0.82,464,1.08,4.39,5.23,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,46921,266.84,55:24.2,395,1.96,0.8,413,1.05,4.08,5.38,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81,46922,269.6,55:27.0,376,2.1,0.78,417,1.11,4.25,5.36,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,46923,272.48,55:29.9,392,2.06,0.82,401,1.02,4.46,5.16,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,46924,275.36,55:32.7,378,1.92,0.8,384,1.02,4.15,5.24,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,46925,278.08,55:35.5,424,2.14,0.84,425,1,4.73,5.17,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85,46926,281.06,55:38.4,388,1.96,0.82,394,1.02,3.95,5.22,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,46927,283.84,55:41.2,392,2.1,0.82,410,1.05,4.46,5.34,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,46928,286.76,55:44.1,396,1.98,0.84,395,1,4.32,5.39,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,46929,289.58,55:47.0,408,2.08,0.82,412,1.01,4.74,5.09,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,46930,292.48,55:49.9,392,2.14,0.82,415,1.06,4.23,5.25,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,46931,295.44,55:52.8,404,2.06,0.86,401,0.99,4.47,5.21,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,46932,298.36,55:55.7,402,2.24,0.84,429,1.07,4.52,5.23,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,46933,301.44,55:58.8,403,2.22,0.84,417,1.03,4.66,5.21,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,46934,304.5,56:01.9,401,2.04,0.82,392,0.98,4.54,5.17,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,46935,307.36,56:04.7,400,2.04,0.82,395,0.99,4.19,5.13,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,46936,310.22,56:07.6,401,2.02,0.84,405,1.01,4.25,5.3,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,46937,313.08,56:10.5,420,2.18,0.82,431,1.03,4.54,5.02,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,46938,316.08,56:13.5,490,2.02,0.9,445,0.91,4.52,5.03,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,46939,319,56:16.4,423,2,0.82,431,1.02,4.39,5.11,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,46940,321.82,56:19.2,408,2.16,0.8,443,1.09,4.33,5.15,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,46941,324.78,56:22.2,383,1.86,0.82,380,0.99,4.47,5.39,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
