BN,vent BN,rel time,abs time,TVi,e-time,TVe,TVe/TVi ratio,PEEP-prev,minP,PEEP,dbl,mt,bs,dtpi,dtpa,fa,co,su,vd,aNOS,wNOS,vc,pc,prvc,ps,cpap_sbt,other_mode
2,14240,10.02,24:45.3,642,2.64,674,1.05,5.62,7.89,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,14241,13.72,24:49.0,699,1.9,713,1.02,5.37,7.24,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,14242,16.54,24:51.8,727,1.8,762,1.05,5.46,6.86,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,14243,19.22,24:54.5,747,1.92,738,0.99,5.33,6.73,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,14244,21.98,24:57.3,790,2.04,718,0.91,5.47,6.55,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,14245,24.92,25:00.2,694,2.64,739,1.06,5.43,6.95,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,14246,28.44,25:03.7,719,2.68,726,1.01,5.32,7.11,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,14247,32.04,25:07.3,696,4.1,705,1.01,5.44,7.63,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,14248,37.14,25:12.4,674,4.62,656,0.97,5.53,8.06,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,14249,43,25:18.3,617,5.94,612,0.99,5.57,7.68,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,14250,49.94,25:25.2,599,5.18,591,0.99,5.46,7.93,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,14251,56.14,25:31.4,597,4.3,625,1.05,5.5,7.97,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,14252,61.52,25:36.8,645,5.08,653,1.01,5.56,7.64,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,14253,67.64,25:42.9,651,2.74,635,0.98,5.45,7.61,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,14254,71.4,25:46.7,651,2.56,681,1.05,5.41,7.32,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,14255,74.86,25:50.2,635,2.66,653,1.03,5.42,7.04,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,14256,78.32,25:53.6,718,2.64,652,0.91,5.43,7.08,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,14257,81.9,25:57.2,287,2.56,392,1.37,5.19,7.61,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,14258,84.96,26:00.3,640,2.9,536,0.84,5.47,8.05,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,14259,89.12,26:04.4,652,2.78,655,1,5.51,8.16,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,14260,93.08,26:08.4,646,2.58,647,1,5.52,7.64,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,14261,96.64,26:11.9,576,2.44,689,1.2,5.37,7.04,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,14262,99.84,26:15.1,602,2.06,527,0.88,5.39,6.91,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,14263,102.68,26:18.0,612,3,575,0.94,5.41,7.38,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,14264,106.52,26:21.8,606,3.42,622,1.03,5.6,8.28,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,14265,111.08,26:26.4,633,5,634,1,5.51,8.16,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,14266,117.42,26:32.7,581,6.26,585,1.01,5.56,7.7,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,14267,124.64,26:39.9,612,4.4,623,1.02,5.51,7.9,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,14268,130.12,26:45.4,627,2.8,616,0.98,5.6,7.44,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,14269,133.88,26:49.2,661,3.28,664,1,5.29,7.44,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,14270,138.12,26:53.4,629,3.76,616,0.98,5.43,7.6,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,14271,142.86,26:58.2,608,3.26,602,0.99,5.49,7.58,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,14272,147.08,27:02.4,610,4.06,611,1,5.51,7.73,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,14273,152.14,27:07.4,651,4.14,645,0.99,5.61,8.66,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,14274,157.68,27:13.0,598,5.36,593,0.99,5.48,7.78,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,14275,164.04,27:19.3,617,3.96,620,1,5.55,7.86,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,14276,169.04,27:24.3,597,4.04,590,0.99,5.56,7.82,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,14277,174.12,27:29.4,590,3.84,594,1.01,5.55,7.63,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,14278,179,27:34.3,602,5.22,594,0.99,5.47,7.65,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,14279,185.22,27:40.5,605,2.68,585,0.97,5.57,7.72,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,14280,188.9,27:44.2,618,2.24,661,1.07,5.45,7.52,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,14281,192.06,27:47.4,642,2.62,698,1.09,5.37,7.25,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,14282,195.56,27:50.9,733,2.18,682,0.93,5.31,7.05,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,14283,198.66,27:54.0,664,2.08,682,1.03,5.43,7.37,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,14284,201.58,27:56.9,666,2.4,622,0.93,5.43,6.99,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,14285,204.78,28:00.1,693,3.2,682,0.98,5.37,7.18,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,14286,208.92,28:04.2,626,3.88,649,1.04,5.59,7.57,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,14287,213.76,28:09.1,646,4.4,636,0.98,5.55,8.26,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,14288,219.52,28:14.8,575,5.32,561,0.98,5.63,8.08,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,14289,225.82,28:21.1,585,4.52,574,0.98,5.58,7.7,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,14290,231.36,28:26.7,585,6.12,585,1,5.55,7.81,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,14291,238.46,28:33.8,594,5.02,601,1.01,5.63,7.79,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,14292,244.52,28:39.8,625,3.2,604,0.97,5.54,7.87,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,14293,248.78,28:44.1,605,3.8,630,1.04,5.5,7.85,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,14294,253.6,28:48.9,626,3.62,612,0.98,5.51,7.66,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,14295,258.24,28:53.5,617,3.28,626,1.01,5.65,7.62,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,14296,262.5,28:57.8,634,3.1,641,1.01,5.47,7.57,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,14297,266.6,29:01.9,628,3.76,637,1.01,5.41,7.63,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,14298,271.34,29:06.6,629,3.82,619,0.98,5.53,7.58,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,14299,276.16,29:11.5,625,4.36,627,1,5.51,7.78,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,14300,281.56,29:16.9,626,3.16,606,0.97,5.56,7.61,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
