BN,vent BN,rel time,abs time,TVi,e-time,TVe,TVe/TVi ratio,PEEP-prev,minP,PEEP,dbl,mt,bs,dtpi,dtpa,fa,co,su,vd,aNOS,wNOS,vc,pc,prvc,ps,cpap_sbt,other_mode
1,25651,0.04,17:16.1,425,1.34,387,0.91,N/A,25.91,17.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,25652,2.2,17:18.3,428,1.34,394,0.92,17.11,26.38,17.06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,25653,4.36,17:20.5,430,1.34,388,0.9,17.06,26.03,17.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,25654,6.52,17:22.6,425,1.34,391,0.92,17.11,26.23,17.02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,25655,8.68,17:24.8,430,1.34,390,0.91,17.02,26.2,17.14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,25656,10.84,17:26.9,427,1.34,389,0.91,17.14,26.02,16.93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,25657,13,17:29.1,427,1.34,388,0.91,16.93,26.11,17.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,25658,15.16,17:31.3,430,1.34,387,0.9,17.11,26.22,16.94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,25659,17.32,17:33.4,427,1.34,388,0.91,16.94,26.11,17.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,25660,19.48,17:35.6,428,1.34,386,0.9,17.01,26.14,16.99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,25661,21.64,17:37.7,430,1.34,389,0.9,16.99,26.23,16.99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,25662,23.8,17:39.9,428,1.34,387,0.9,16.99,26,17.09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,25663,25.96,17:42.1,429,1.34,390,0.91,17.09,26.27,17.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,25664,28.12,17:44.2,427,1.34,385,0.9,17.04,25.89,17.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,25665,30.28,17:46.4,427,1.34,390,0.91,17.12,26.24,17.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,25666,32.44,17:48.5,430,1.34,389,0.9,17.05,26.04,17.14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,25667,34.6,17:50.7,424,1.34,388,0.92,17.14,26.01,17.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,25668,36.76,17:52.9,427,1.34,391,0.92,17.01,26,17.14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,25669,38.92,17:55.0,429,1.34,388,0.9,17.14,26.04,16.94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,25670,41.08,17:57.2,426,1.34,389,0.91,16.94,26.05,17.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,25671,43.24,17:59.3,431,1.34,388,0.9,17.1,26.15,16.96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,25672,45.4,18:01.5,427,1.34,388,0.91,16.96,26.15,17.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,25673,47.56,18:03.7,429,1.34,390,0.91,17.04,26.03,17.03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,25674,49.72,18:05.8,429,1.34,391,0.91,17.03,26.33,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,25675,51.88,18:08.0,428,1.34,387,0.9,17,26.12,17.08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,25676,54.04,18:10.1,428,1.34,390,0.91,17.08,26.38,17.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,25677,56.2,18:12.3,428,1.34,386,0.9,17.05,26.22,17.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,25678,58.36,18:14.5,427,1.34,390,0.91,17.12,26.42,17.06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,25679,60.52,18:16.6,428,1.34,388,0.91,17.06,26.16,17.14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,25680,62.68,18:18.8,427,1.34,390,0.91,17.14,26.14,16.98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,25681,64.84,18:20.9,428,1.34,390,0.91,16.98,26.12,17.14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,25682,67,18:23.1,429,1.34,389,0.91,17.14,26.19,16.94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,25683,69.16,18:25.3,426,1.34,387,0.91,16.94,26.17,17.14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,25684,71.32,18:27.4,429,1.34,389,0.91,17.14,26.16,16.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,25685,73.48,18:29.6,429,1.34,391,0.91,16.95,26.27,17.08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,25686,75.64,18:31.7,427,1.34,386,0.9,17.08,26.21,16.98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,25687,77.8,18:33.9,430,1.34,393,0.91,16.98,26.39,17.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,25688,79.96,18:36.1,428,1.34,386,0.9,17.01,26.08,17.03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,25689,82.12,18:38.2,429,1.34,392,0.91,17.03,26.33,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
