BN,vent BN,rel time,abs time,TVi,e-time,TVe,TVe/TVi ratio,PEEP-prev,minP,PEEP,dbl,mt,bs,dtpi,dtpa,fa,co,su,vd,aNOS,wNOS,vc,pc,prvc,ps,cpap_sbt,other_mode
1,15908,0.04,08:26.7,413,3.38,435,1.05,N/A,11.09,5.22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,15909,4.34,08:31.0,445,3.38,459,1.03,5.22,11.02,5.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,15910,8.64,08:35.3,454,3.38,483,1.06,5.12,10.81,4.84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,15911,12.94,08:39.6,481,3.38,490,1.02,4.84,10.92,4.98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,15912,17.24,08:43.9,415,2.96,427,1.03,4.98,11.03,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,15913,21.12,08:47.8,451,3.38,481,1.07,4.5,10.21,5.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,15914,25.42,08:52.1,434,3.26,454,1.05,5.02,11.04,4.46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,15915,29.6,08:56.3,450,3.38,493,1.1,4.46,10.23,5.06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,15916,33.9,09:00.6,448,3.34,477,1.06,5.06,11.04,4.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,15917,38.16,09:04.9,454,3.38,483,1.06,4.42,10.25,5.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,15918,42.46,09:09.2,424,3.38,438,1.03,5.02,11.2,4.96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,15919,46.76,09:13.5,434,3.38,452,1.04,4.96,11.18,5.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,15920,51.06,09:17.8,449,3.38,475,1.06,5.13,10.92,4.97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,15921,55.36,09:22.1,443,3.38,460,1.04,4.97,11.03,4.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,15922,59.66,09:26.4,444,3.38,462,1.04,4.95,10.98,5.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,15923,63.96,09:30.7,436,3.38,452,1.04,5.08,11.12,5.23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,15924,68.26,09:35.0,451,3.38,476,1.06,5.23,10.95,5.27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,15925,72.56,09:39.3,456,3.38,467,1.02,5.27,10.93,4.89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,15926,76.86,09:43.6,450,3.38,474,1.05,4.89,10.98,4.94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,15927,81.16,09:47.9,442,3.38,444,1,4.94,10.98,5.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,15928,85.46,09:52.2,419,3.38,440,1.05,5.24,10.91,4.94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,15929,89.76,09:56.5,464,3.38,487,1.05,4.94,10.87,5.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,15930,94.06,10:00.8,421,3.38,450,1.07,5.24,10.97,5.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,15931,98.36,10:05.1,438,3.38,481,1.1,5.17,10.75,5.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,15932,102.66,10:09.4,427,3.26,449,1.05,5.08,11.05,4.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,15933,106.84,10:13.5,460,3.38,474,1.03,4.47,10.26,4.71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,15934,111.14,10:17.8,475,3.02,487,1.03,4.71,10.9,4.48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,15935,115.08,10:21.8,459,3.28,472,1.03,4.48,10.19,4.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,15936,119.28,10:26.0,459,3.38,485,1.06,4.6,10.26,4.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,15937,123.58,10:30.3,455,3.38,475,1.04,4.95,11.04,5.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,15938,127.88,10:34.6,411,3.38,439,1.07,5.29,10.94,4.94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,15939,132.18,10:38.9,436,3.38,452,1.04,4.94,11.08,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,15940,136.48,10:43.2,429,3.38,439,1.02,5,10.97,4.97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,15941,140.78,10:47.5,426,3.38,442,1.04,4.97,11.01,5.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,15942,145.08,10:51.8,417,3.38,442,1.06,5.02,10.99,5.16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,15943,149.38,10:56.1,428,3.38,446,1.04,5.16,10.95,5.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,15944,153.68,11:00.4,419,3.38,447,1.07,5.18,10.87,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,15945,157.98,11:04.7,474,3.38,513,1.08,4.5,10.98,5.31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,15946,162.28,11:09.0,421,3.38,443,1.05,5.31,11.07,4.36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,15947,166.58,11:13.3,455,3.38,482,1.06,4.36,11.1,4.97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,15948,170.88,11:17.6,416,3.38,426,1.02,4.97,11.15,5.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
