BN,ventBN,BS,IEnd,BE,I:E ratio,iTime,eTime,inst_RR,tvi,tve,tve:tvi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS.1,x01,tvi1,tve1,x02,tvi2,tve2,x0_index,abs_time_at_BS,abs_time_at_x0,abs_time_at_BE,rel_time_at_BS,rel_time_at_x0,rel_time_at_BE,vc,pc,prvc,ps,cpap_sbt,other_mode
1,10240,0.02,0.94,4.3,0.272189349112,0.92,3.38,13.9534883721,282.548333333,295.994444444,1.04758871147,53.56,-72.93,26.52,26.52,23.9045652174,8.006,21.65555,28.1568666667, ,0.02,0.94,282.548333333,294.831666667,0.94,282.548333333,294.831666667,46,2016-06-18 02-20-32.628385,2016-06-18 02-20-33.548385,2016-06-18 02-20-36.908385,0.02,0.94,4.3,0,1,0,0,0,0
2,10241,4.32,5.24,8.6,0.272189349112,0.92,3.38,13.9534883721,304.845833333,301.994444444,0.990646456087,36.26,-71.51,26.32,26.32,23.9091304348,8.068,21.6542,28.1817333333, ,4.32,5.24,304.845833333,300.048888889,5.24,304.845833333,300.048888889,46,2016-06-18 02-20-36.928385,2016-06-18 02-20-37.848385,2016-06-18 02-20-41.208385,4.32,5.24,8.6,0,1,0,0,0,0
3,10242,8.62,9.54,10.96,0.638888888889,0.92,1.44,25.4237288136,267.056944444,234.890833333,0.879553362007,36.07,-72.69,26.36,26.36,23.9519565217,7.8,21.6947333333,12.5018666667, ,8.62,9.54,267.056944444,235.128888889,9.54,267.056944444,235.128888889,46,2016-06-18 02-20-41.228385,2016-06-18 02-20-42.148385,2016-06-18 02-20-43.568385,8.62,9.54,10.96,0,1,0,0,0,0
4,10243,10.98,11.68,13.38,0.406976744186,0.7,1.72,24.7933884298,268.456666667,308.616944444,1.14959687266,51.22,-72.69,26.64,26.64,23.2634285714,7.778,15.9454,18.7944, ,10.98,11.68,268.456666667,312.06,11.68,268.456666667,312.06,35,2016-06-18 02-20-43.588385,2016-06-18 02-20-44.288385,2016-06-18 02-20-45.988385,10.98,11.68,13.38,0,1,0,0,0,0
5,10244,13.4,14.18,16.2,0.382352941176,0.78,2.04,21.2765957447,308.646666667,302.726944444,0.98082039153,45.39,-74.74,26.51,26.51,23.5630769231,7.84,18.0368666667,19.87105, ,13.4,14.18,308.646666667,305.854444444,14.18,308.646666667,305.854444444,39,2016-06-18 02-20-46.008385,2016-06-18 02-20-46.788385,2016-06-18 02-20-48.808385,13.4,14.18,16.2,0,1,0,0,0,0
6,10245,16.22,16.94,18.98,0.349514563107,0.72,2.06,21.5827338129,293.241944444,292.306666667,0.99681055935,48.37,-75.44,26.52,26.52,23.3438888889,7.72,16.4658166667,21.0836666667, ,16.22,16.94,293.241944444,296.396944444,16.94,293.241944444,296.396944444,36,2016-06-18 02-20-48.828385,2016-06-18 02-20-49.548385,2016-06-18 02-20-51.588385,16.22,16.94,18.98,0,1,0,0,0,0
7,10246,19.0,19.8,21.42,0.487804878049,0.8,1.64,24.5901639344,281.324166667,298.415833333,1.06075434922,47.26,-72.6,26.62,26.62,23.611,7.64,18.5499333333,16.3239666667, ,19.0,19.8,281.324166667,297.151111111,19.8,281.324166667,297.151111111,40,2016-06-18 02-20-51.608385,2016-06-18 02-20-52.408385,2016-06-18 02-20-54.028385,19.0,19.8,21.42,0,1,0,0,0,0
8,10247,21.44,22.24,24.22,0.4,0.8,2.0,21.4285714286,307.414722222,321.924166667,1.0471982745,48.98,-75.77,26.59,26.59,23.66625,7.716,18.5938,19.2552833333, ,21.44,22.24,307.414722222,320.82,22.22,307.465555556,323.223611111,40,2016-06-18 02-20-54.048385,2016-06-18 02-20-54.848385,2016-06-18 02-20-56.828385,21.44,22.24,24.22,0,1,0,0,0,0
9,10248,24.24,24.98,26.94,0.373737373737,0.74,1.98,22.0588235294,302.741111111,294.762222222,0.973644514749,46.1,-74.0,26.61,26.61,23.432972973,7.656,17.0024,20.0422666667, ,24.24,24.98,302.741111111,293.926388889,24.98,302.741111111,293.926388889,37,2016-06-18 02-20-56.848385,2016-06-18 02-20-57.588385,2016-06-18 02-20-59.548385,24.24,24.98,26.94,0,1,0,0,0,0
10,10249,26.96,27.88,29.34,0.621621621622,0.92,1.48,25.0,274.152222222,292.646944444,1.0674615076,49.21,-72.51,26.72,26.72,23.9356521739,7.564,21.6842,12.8866166667, ,26.96,27.88,274.152222222,293.733333333,27.88,274.152222222,293.733333333,46,2016-06-18 02-20-59.568385,2016-06-18 02-21-00.488385,2016-06-18 02-21-01.948385,26.96,27.88,29.34,0,1,0,0,0,0
11,10250,29.36,30.12,31.92,0.417582417582,0.76,1.82,23.2558139535,309.125,291.143333333,0.941830435369,49.24,-74.57,26.76,26.76,23.5410526316,7.63,17.5508666667,18.4496, ,29.36,30.12,309.125,294.879444444,30.12,309.125,294.879444444,38,2016-06-18 02-21-01.968385,2016-06-18 02-21-02.728385,2016-06-18 02-21-04.528385,29.36,30.12,31.92,0,1,0,0,0,0
12,10251,31.94,32.66,34.46,0.395604395604,0.72,1.82,23.6220472441,284.946944444,303.148888889,1.06387836332,50.75,-73.15,26.72,26.72,23.3872222222,7.744,16.49915,19.2181333333, ,31.94,32.66,284.946944444,306.971111111,32.66,284.946944444,306.971111111,36,2016-06-18 02-21-04.548385,2016-06-18 02-21-05.268385,2016-06-18 02-21-07.068385,31.94,32.66,34.46,0,1,0,0,0,0
13,10252,34.48,35.32,37.08,0.47191011236,0.84,1.78,22.9007633588,308.739444444,306.883333333,0.993988098558,47.76,-74.67,26.56,26.56,23.7619047619,7.764,19.6219833333,16.7646666667, ,34.48,35.32,308.739444444,310.035833333,35.32,308.739444444,310.035833333,42,2016-06-18 02-21-07.088385,2016-06-18 02-21-07.928385,2016-06-18 02-21-09.688385,34.48,35.32,37.08,0,1,0,0,0,0
14,10253,37.1,37.94,40.06,0.392523364486,0.84,2.14,20.1342281879,311.5075,301.996666667,0.96946836486,46.15,-75.92,26.55,26.55,23.7647619048,7.558,19.6227,19.5337333333, ,37.1,37.94,311.5075,305.8925,37.92,311.817777778,308.526666667,42,2016-06-18 02-21-09.708385,2016-06-18 02-21-10.548385,2016-06-18 02-21-12.668385,37.1,37.94,40.06,0,1,0,0,0,0
15,10254,40.08,41.0,42.84,0.494623655914,0.92,1.86,21.5827338129,286.7825,299.087777778,1.04290804975,51.39,-74.45,26.52,26.52,23.9019565217,7.66,21.6532166667,15.9447333333, ,40.08,41.0,286.7825,300.998333333,40.86,286.306666667,311.435555556,46,2016-06-18 02-21-12.688385,2016-06-18 02-21-13.608385,2016-06-18 02-21-15.448385,40.08,41.0,42.84,0,1,0,0,0,0
16,10255,42.86,43.66,45.6,0.408163265306,0.8,1.96,21.7391304348,305.171111111,321.005555556,1.05188710159,49.81,-76.83,26.61,26.61,23.6745,7.762,18.6007333333,18.9480833333, ,42.86,43.66,305.171111111,319.384444444,43.66,305.171111111,319.384444444,40,2016-06-18 02-21-15.468385,2016-06-18 02-21-16.268385,2016-06-18 02-21-18.208385,42.86,43.66,45.6,0,1,0,0,0,0
17,10256,45.62,46.44,48.32,0.431578947368,0.82,1.9,22.0588235294,324.826666667,313.75,0.965899761924,46.71,-76.12,26.6,26.6,23.7434146341,7.6,19.1340666667,18.0796, ,45.62,46.44,324.826666667,313.211944444,46.44,324.826666667,313.211944444,41,2016-06-18 02-21-18.228385,2016-06-18 02-21-19.048385,2016-06-18 02-21-20.928385,45.62,46.44,48.32,0,1,0,0,0,0
18,10257,48.34,49.12,51.12,0.386138613861,0.78,2.02,21.4285714286,293.674444444,303.758888889,1.03433885595,49.6,-75.92,26.72,26.72,23.5792307692,7.772,18.0582666667,19.7185333333, ,48.34,49.12,293.674444444,302.408611111,49.12,293.674444444,302.408611111,39,2016-06-18 02-21-20.948385,2016-06-18 02-21-21.728385,2016-06-18 02-21-23.728385,48.34,49.12,51.12,0,1,0,0,0,0
19,10258,51.14,51.9,53.76,0.404255319149,0.76,1.88,22.7272727273,303.253611111,312.930555556,1.03191040136,48.37,-73.71,26.59,26.59,23.5236842105,7.742,17.5345166667,19.0179833333, ,51.14,51.9,303.253611111,311.921111111,51.9,303.253611111,311.921111111,38,2016-06-18 02-21-23.748385,2016-06-18 02-21-24.508385,2016-06-18 02-21-26.368385,51.14,51.9,53.76,0,1,0,0,0,0
