BN,vent BN,rel time,abs time,TVi,e-time,i-time,TVe,TVe/TVi ratio,PEEP-prev,minP,PEEP,dbl,mt,bs,dtpi,dtpa,fa,co,su,vd,aNOS,wNOS,vc,pc,prvc,ps,cpap_sbt,other_mode
1,50657,0.04,54:11.8,383,1.22,0.72,392,1.02,N/A,13.73,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,50658,1.98,54:13.8,329,1.02,0.6,349,1.06,4.62,13.57,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,50659,3.6,54:15.4,359,1.06,0.66,362,1.01,4.55,13.7,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,50660,5.32,54:17.1,370,1.1,0.7,389,1.05,4.54,13.63,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,50661,7.12,54:18.9,372,1.1,0.68,381,1.02,4.5,13.7,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,50662,8.9,54:20.7,393,1.24,0.74,407,1.04,4.54,13.7,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,50663,10.88,54:22.7,325,1.04,0.6,335,1.03,4.65,13.73,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,50664,12.52,54:24.3,344,0.96,0.62,333,0.97,4.56,13.89,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,50665,14.1,54:25.9,377,1.08,0.68,391,1.04,4.55,13.72,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,50666,15.86,54:27.7,408,1.16,0.76,415,1.02,4.54,13.52,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,50667,17.78,54:29.6,353,1.12,0.64,377,1.07,4.57,13.64,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,50668,19.54,54:31.3,373,1.22,0.68,394,1.06,4.6,13.59,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,50669,21.44,54:33.2,377,1.1,0.68,390,1.03,4.69,13.65,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,50670,23.22,54:35.0,396,1.12,0.74,412,1.04,4.48,13.71,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,50671,25.08,54:36.9,381,1.26,0.7,404,1.06,4.47,13.66,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,50672,27.04,54:38.8,403,1.18,0.74,402,1,4.57,13.57,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,50673,28.96,54:40.8,381,1.16,0.7,383,1.01,4.53,13.67,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,50674,30.82,54:42.6,405,1.18,0.74,407,1,4.62,13.63,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,50675,32.74,54:44.5,387,1.18,0.72,398,1.03,4.59,13.66,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,50676,34.64,54:46.4,366,1.2,0.68,390,1.07,4.58,13.67,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,50677,36.52,54:48.3,371,1.02,0.68,379,1.02,4.55,13.5,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,50678,38.22,54:50.0,390,1.32,0.74,416,1.07,4.49,13.51,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,50679,40.28,54:52.1,361,1.12,0.68,369,1.02,4.58,13.64,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,50680,42.08,54:53.9,369,1.12,0.68,382,1.04,4.56,13.69,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,50681,43.88,54:55.7,366,1.22,0.68,385,1.05,4.63,13.66,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,50682,45.78,54:57.6,382,1.3,0.7,413,1.08,4.72,13.61,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,50683,47.78,54:59.6,403,1.16,0.78,386,0.96,4.63,13.57,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,50684,49.72,55:01.5,325,1.36,0.6,361,1.11,4.59,13.83,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,50685,51.68,55:03.5,362,1.1,0.66,364,1.01,4.67,13.62,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,50686,53.44,55:05.2,404,1.36,0.76,397,0.98,4.55,13.6,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
