BN,vent BN,rel time,abs time,TVi,e-time,i-time,TVe,TVe/TVi ratio,PEEP-prev,minP,PEEP,dbl,mt,bs,dtpi,dtpa,fa,co,su,vd,aNOS,wNOS,vc,pc,prvc,ps,cpap_sbt,other_mode
1,23429,0.04,02:49.0,464,1.78,0.72,435,0.94,N/A,22.42,12.32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,23430,2.54,02:51.5,385,0.36,0.72,183,0.48,12.32,22.36,11.64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,23431,3.62,02:52.6,294,1.78,0.72,412,1.4,11.64,23.82,12.09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,23432,6.12,02:55.1,424,1.78,0.72,410,0.97,12.09,22.3,11.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,23433,8.62,02:57.6,481,1.78,0.72,442,0.92,11.95,22.46,12.21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,23434,11.12,03:00.1,416,1.78,0.72,415,1,12.21,22.26,11.89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,23435,13.62,03:02.6,468,1.78,0.72,436,0.93,11.89,22.48,12.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,23436,16.12,03:05.1,406,1.78,0.72,419,1.03,12.25,22.35,11.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,23437,18.62,03:07.6,456,1.58,0.72,419,0.92,11.95,22.33,11.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,23438,20.92,03:09.9,389,1.78,0.72,375,0.96,11.73,21.82,12.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,23439,23.42,03:12.4,489,1.78,0.72,420,0.86,12.2,22.07,11.88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,23440,25.92,03:14.9,454,1.78,0.72,453,1,11.88,22.41,12.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,23441,28.42,03:17.4,486,1.78,0.72,453,0.93,12.08,22.1,11.96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,23442,30.92,03:19.9,454,1.78,0.72,446,0.98,11.96,22.5,12.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,23443,33.42,03:22.4,481,1.78,0.72,474,0.99,12.02,22.26,12.09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,23444,35.92,03:24.9,436,1.78,0.72,412,0.94,12.09,22.3,12.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,23445,38.42,03:27.4,491,1.78,0.72,431,0.88,12.03,22.23,11.98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,23446,40.92,03:29.9,469,1.78,0.72,444,0.95,11.98,22.17,12.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,23447,43.42,03:32.4,479,1.78,0.72,457,0.95,12.05,22.39,12.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,23448,45.92,03:34.9,469,1.78,0.72,462,0.99,12.1,22.15,12.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,23449,48.42,03:37.4,479,1.78,0.72,429,0.9,12.05,22.29,12.14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,23450,50.92,03:39.9,438,1.78,0.72,442,1.01,12.14,22.25,12.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,23451,53.42,03:42.4,483,1.78,0.72,430,0.89,12.01,22.27,12.21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,23452,55.92,03:44.9,445,1.78,0.72,423,0.95,12.21,22.34,11.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,23453,58.42,03:47.4,480,1.78,0.72,450,0.94,11.92,22.45,12.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,23454,60.92,03:49.9,458,1.78,0.72,453,0.99,12.29,22.24,11.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,23455,63.42,03:52.4,495,1.78,0.72,458,0.93,11.95,22.38,12.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,23456,65.92,03:54.9,457,1.78,0.72,443,0.97,12.29,22.25,11.88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,23457,68.42,03:57.4,450,1.78,0.72,420,0.93,11.88,21.09,11.87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,23458,70.92,03:59.9,440,1.78,0.72,392,0.89,11.87,22.21,11.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,23459,73.42,04:02.4,464,1.78,0.72,446,0.96,11.95,22.42,12.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,23460,75.92,04:04.9,416,1.78,0.72,372,0.89,12.2,21.82,12.87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,23461,78.42,04:07.4,459,1.76,0.72,454,0.99,12.87,22.14,12.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,23462,80.9,04:09.8,429,1.78,0.72,428,1,12.02,22.35,11.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,23463,83.4,04:12.3,467,1.78,0.72,451,0.97,11.92,22.29,12.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,23464,85.9,04:14.8,456,1.78,0.72,477,1.05,12.29,22.22,11.89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,23465,88.4,04:17.3,464,1.78,0.72,426,0.92,11.89,22.24,12.21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,23466,90.9,04:19.8,443,1.78,0.72,428,0.97,12.21,22.09,11.88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,23467,93.4,04:22.3,476,1.78,0.72,429,0.9,11.88,22.44,12.09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,23468,95.9,04:24.8,473,1.48,0.72,428,0.9,12.09,22.08,12.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,23469,98.1,04:27.0,426,1.78,0.72,404,0.95,12.05,22.25,12.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,23470,100.6,04:29.5,456,1.64,0.72,458,1,12.92,22.09,11.79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,23471,102.96,04:31.9,436,1.68,0.72,412,0.94,11.79,22.17,11.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,23472,105.36,04:34.3,423,1.56,0.72,414,0.98,11.95,22.4,11.84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,23473,107.64,04:36.6,438,1.78,0.72,436,1,11.84,22.52,11.94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,23474,110.14,04:39.1,439,1.78,0.72,399,0.91,11.94,22.3,12.23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,23475,112.64,04:41.6,423,1.78,0.72,485,1.15,12.23,22.26,11.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,23476,115.14,04:44.1,466,1.78,0.72,427,0.92,11.95,22.32,12.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,23477,117.64,04:46.6,434,1.78,0.72,470,1.08,12.18,22.37,11.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,23478,120.14,04:49.1,438,1.86,0.64,465,1.06,11.95,22.53,12.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,23479,122.64,04:51.6,448,1.78,0.72,477,1.06,12.13,22.35,11.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,23480,125.14,04:54.1,435,1.86,0.64,456,1.05,11.99,22.6,12.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,23481,127.64,04:56.6,442,1.78,0.72,430,0.97,12.11,22.32,11.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,23482,130.14,04:59.1,436,1.9,0.6,405,0.93,11.9,22.58,12.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,23483,132.64,05:01.6,436,1.8,0.7,427,0.98,12.12,22.43,11.93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,23484,135.14,05:04.1,423,1.88,0.62,424,1,11.93,22.67,12.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,23485,137.64,05:06.6,444,1.78,0.72,459,1.03,12.12,22.34,11.98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,23486,140.14,05:09.1,430,1.84,0.66,472,1.1,11.98,22.66,12.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,23487,142.64,05:11.6,435,1.78,0.72,470,1.08,12.13,22.21,11.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,23488,145.14,05:14.1,421,1.86,0.64,422,1,11.92,22.73,12.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,23489,147.64,05:16.6,448,1.62,0.72,423,0.94,12.04,22.36,11.77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,23490,149.98,05:18.9,442,1.78,0.72,427,0.97,11.77,22.17,12.09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,23491,152.48,05:21.4,410,1.78,0.72,448,1.09,12.09,21.24,11.98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,23492,154.98,05:23.9,465,1.78,0.72,469,1.01,11.98,22.5,12.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,23493,157.48,05:26.4,462,1.78,0.72,489,1.06,12.18,22.39,11.94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,23494,159.98,05:28.9,447,1.78,0.72,464,1.04,11.94,21.57,12.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,23495,162.48,05:31.4,398,1.78,0.72,393,0.99,12.11,21.97,12.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,23496,164.98,05:33.9,436,1.78,0.72,442,1.01,12.95,22.31,12.21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,23497,167.48,05:36.4,439,1.78,0.72,421,0.96,12.21,22.45,11.89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
