BN,vent BN,rel time,abs time,TVi,e-time,i-time,TVe,TVe/TVi ratio,PEEP-prev,minP,PEEP,dbl,mt,bs,dtpi,dtpa,fa,co,su,vd,aNOS,wNOS,vc,pc,prvc,ps,cpap_sbt,other_mode
1,13498,0.04,18:14.0,497,7.94,1.68,1109,2.23,,11.72,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,13499,9.66,18:23.6,438,0.86,1.86,124,0.28,8.88,9.24,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,13500,12.38,18:26.4,241,1.36,0.66,290,1.2,8.42,9.71,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,13501,14.4,18:28.4,297,0.94,0.94,188,0.63,8.5,9.67,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,13502,16.28,18:30.3,263,2.94,0.7,529,2.01,8.43,9.8,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,13503,19.92,18:33.9,431,3.96,0.74,577,1.34,8.36,9.51,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,13504,24.62,18:38.6,273,2.54,0.76,321,1.18,8.54,9.28,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,13505,27.92,18:41.9,289,0.78,0.8,6,0.02,8.55,8.99,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,13506,29.5,18:43.5,213,0.64,0.78,66,0.31,8.53,8.04,8.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,13507,30.92,18:44.9,264,4.04,0.62,717,2.72,8.47,8.45,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,13508,35.58,18:49.6,339,1.4,0.86,199,0.59,8.52,8.75,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,13509,37.84,18:51.8,277,1.68,0.76,284,1.03,8.5,8.66,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,13510,40.28,18:54.3,313,0.94,0.8,177,0.57,8.53,8.87,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,13511,42.02,18:56.0,234,0.92,0.66,180,0.77,8.54,8.55,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,13512,43.6,18:57.6,225,1.1,0.64,242,1.08,8.42,8.69,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,13513,45.34,18:59.3,261,0.96,0.7,212,0.81,8.25,9.11,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,13514,47.0,19:01.0,227,0.94,0.64,218,0.96,8.37,8.81,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,13515,48.58,19:02.6,220,0.96,0.62,224,1.02,8.51,8.73,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,13516,50.16,19:04.1,230,1.06,0.64,249,1.08,8.31,8.93,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,13517,51.86,19:05.8,236,0.96,0.66,234,0.99,8.29,8.77,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,13518,53.48,19:07.5,245,0.98,0.66,240,0.98,8.33,9.14,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,13519,55.12,19:09.1,243,0.96,0.66,239,0.98,8.35,9.11,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,13520,56.74,19:10.7,248,1.0,0.68,252,1.02,8.45,8.78,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,13521,58.42,19:12.4,240,0.98,0.64,245,1.02,8.32,8.94,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,13522,60.04,19:14.0,248,0.94,0.66,234,0.94,8.43,8.94,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,13523,61.64,19:15.6,231,0.96,0.64,250,1.08,8.41,8.92,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,13524,63.24,19:17.2,250,0.96,0.66,253,1.01,8.4,8.87,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,13525,64.86,19:18.8,229,0.98,0.62,251,1.1,8.55,8.77,8.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,13526,66.46,19:20.4,257,0.96,0.7,249,0.97,8.47,8.66,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,13527,68.12,19:22.1,225,1.02,0.62,251,1.12,8.41,9.13,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,13528,69.76,19:23.7,250,0.92,0.66,236,0.94,8.27,9.01,8.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,13529,71.34,19:25.3,220,0.98,0.62,244,1.11,8.46,9.11,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,13530,72.94,19:26.9,239,0.92,0.64,243,1.02,8.33,8.78,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,13531,74.5,19:28.5,244,0.92,0.64,242,0.99,8.4,8.86,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,13532,76.06,19:30.0,226,0.96,0.6,245,1.08,8.44,8.78,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,13533,77.62,19:31.6,257,0.92,0.68,249,0.97,8.41,8.82,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,13534,79.22,19:33.2,250,1.08,0.64,269,1.08,8.3,8.91,8.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,13535,80.94,19:34.9,251,0.96,0.68,250,1.0,8.46,8.76,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,13536,82.58,19:36.6,244,0.94,0.64,251,1.03,8.27,9.08,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,13537,84.16,19:38.1,265,0.94,0.68,257,0.97,8.51,8.93,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,13538,85.78,19:39.8,252,0.94,0.64,261,1.04,8.36,8.93,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,13539,87.36,19:41.3,257,1.04,0.66,281,1.09,8.28,8.86,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,13540,89.06,19:43.0,268,1.0,0.66,276,1.03,8.21,9.11,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,13541,90.72,19:44.7,266,0.9,0.68,255,0.96,8.41,8.74,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,13542,92.3,19:46.3,253,0.96,0.64,273,1.08,8.37,8.93,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,13543,93.9,19:47.9,262,0.94,0.66,271,1.03,8.5,9.03,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,13544,95.5,19:49.5,255,0.86,0.64,245,0.96,8.44,8.96,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,13545,97.0,19:51.0,247,0.96,0.64,269,1.09,8.26,9.07,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,13546,98.6,19:52.6,251,0.94,0.64,270,1.08,8.44,9.12,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,13547,100.18,19:54.2,249,0.96,0.62,267,1.07,8.42,8.91,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,13548,101.76,19:55.7,270,0.9,0.68,262,0.97,8.29,8.87,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,13549,103.34,19:57.3,249,0.94,0.62,279,1.12,8.22,9.19,8.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,13550,104.9,19:58.9,260,0.96,0.64,277,1.07,8.49,8.79,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,13551,106.5,20:00.5,258,0.98,0.6,281,1.09,8.33,9.16,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
