BN,vent BN,rel time,abs time,TVi,e-time,i-time,TVe,TVe/TVi ratio,PEEP-prev,minP,PEEP,vc,pc,prvc,ps,simv,pav,vs,cpap_sbt,aprv,other
1,3196,0.04,2163-12-07-12-47-00.995425,59.0,9.82,0.28,141.0,2.39,N/A,4.3,6.13,0,0,0,0,0,0,0,1,0,0
2,3197,10.14,2163-12-07-12-47-11.095425,108.0,1.9,0.78,56.0,0.52,6.13,5.1,5.96,0,0,0,0,0,0,0,1,0,0
3,3198,12.82,2163-12-07-12-47-13.775425,47.0,0.02,0.4,0.0,0.0,5.96,2.54,2.65,0,0,0,0,0,0,0,1,0,0
4,3199,13.24,2163-12-07-12-47-14.195425,319.0,0.92,1.36,179.0,0.56,2.65,4.86,4.24,0,0,0,0,0,0,0,1,0,0
5,3200,15.52,2163-12-07-12-47-16.475425,178.0,0.36,0.66,31.0,0.17,4.24,5.62,5.57,0,0,0,0,0,0,0,1,0,0
6,3201,16.54,2163-12-07-12-47-17.495425,330.0,1.08,1.0,366.0,1.11,5.57,5.71,5.88,0,0,0,0,0,0,0,1,0,0
7,3202,18.62,2163-12-07-12-47-19.575425,221.0,0.86,0.68,246.0,1.11,5.88,6.17,5.96,0,0,0,0,0,0,0,1,0,0
8,3203,20.16,2163-12-07-12-47-21.115425,233.0,0.82,0.66,240.0,1.03,5.96,6.14,4.81,0,0,0,0,0,0,0,1,0,0
9,3204,21.64,2163-12-07-12-47-22.595425,278.0,0.9,0.76,262.0,0.94,4.81,3.99,5.88,0,0,0,0,0,0,0,1,0,0
10,3205,23.3,2163-12-07-12-47-24.255425,286.0,0.86,0.78,290.0,1.01,5.88,5.78,4.8,0,0,0,0,0,0,0,1,0,0
11,3206,24.94,2163-12-07-12-47-25.895425,317.0,0.88,0.84,285.0,0.9,4.8,3.74,5.95,0,0,0,0,0,0,0,1,0,0
12,3207,26.66,2163-12-07-12-47-27.615425,863.0,3.12,1.92,901.0,1.04,5.95,5.78,5.87,0,0,0,0,0,0,0,1,0,0
13,3208,31.7,2163-12-07-12-47-32.655425,113.0,0.38,0.56,33.0,0.29,5.87,4.51,4.82,0,0,0,0,0,0,0,1,0,0
14,3209,32.64,2163-12-07-12-47-33.595425,462.0,1.14,1.22,396.0,0.86,4.82,6.11,5.56,0,0,0,0,0,0,0,1,0,0
15,3210,35.0,2163-12-07-12-47-35.955425,627.0,1.92,1.54,649.0,1.04,5.56,5.89,5.67,0,0,0,0,0,0,0,1,0,0
16,3211,38.46,2163-12-07-12-47-39.415425,736.0,3.8,1.68,788.0,1.07,5.67,5.58,5.88,0,0,0,0,0,0,0,1,0,0
17,3212,43.94,2163-12-07-12-47-44.895425,54.0,0.7,0.54,52.0,0.96,5.88,5.33,4.74,0,0,0,0,0,0,0,1,0,0
18,3213,45.18,2163-12-07-12-47-46.135425,598.0,7.52,1.48,584.0,0.98,4.74,6.27,5.97,0,0,0,0,0,0,0,1,0,0
19,3214,54.18,2163-12-07-12-47-55.135425,30.0,0.02,0.4,0.0,0.0,5.97,4.23,4.41,0,0,0,0,0,0,0,1,0,0
20,3215,54.6,2163-12-07-12-47-55.555425,88.0,0.72,0.38,131.0,1.49,4.41,3.84,4.32,0,0,0,0,0,0,0,1,0,0
21,3216,55.7,2163-12-07-12-47-56.655425,130.0,0.02,0.76,0.0,0.0,4.32,4.3,4.46,0,0,0,0,0,0,0,1,0,0
22,3217,56.48,2163-12-07-12-47-57.435425,22.0,0.02,0.28,0.0,0.0,4.46,4.34,4.65,0,0,0,0,0,0,0,1,0,0
23,3218,56.78,2163-12-07-12-47-57.735425,20.0,2.56,0.44,227.0,11.35,4.65,5.69,5.92,0,0,0,0,0,0,0,1,0,0
24,3219,59.78,2163-12-07-12-48-00.735425,31.0,0.2,0.22,9.0,0.29,5.92,4.25,-1.59,0,0,0,0,0,0,0,1,0,0
25,3220,60.2,2163-12-07-12-48-01.155425,64.0,0.02,0.32,0.0,0.0,-1.59,4.01,5.27,0,0,0,0,0,0,0,1,0,0
26,3221,60.54,2163-12-07-12-48-01.495425,8.0,0.34,0.18,58.0,7.25,5.27,5.33,5.33,0,0,0,0,0,0,0,1,0,0
27,3222,61.06,2163-12-07-12-48-02.015425,520.0,3.78,1.52,541.0,1.04,5.33,5.97,4.89,0,0,0,0,0,0,0,1,0,0
28,3223,66.36,2163-12-07-12-48-07.315425,146.0,0.54,0.9,69.0,0.47,4.89,5.89,5.89,0,0,0,0,0,0,0,1,0,0
29,3224,67.8,2163-12-07-12-48-08.755425,311.0,0.02,1.38,0.0,0.0,5.89,5.38,5.54,0,0,0,0,0,0,0,1,0,0
30,3225,69.2,2163-12-07-12-48-10.155425,8.0,1.94,0.22,327.0,40.88,5.54,5.41,5.7,0,0,0,0,0,0,0,1,0,0
31,3226,71.36,2163-12-07-12-48-12.315425,101.0,0.5,0.7,39.0,0.39,5.7,5.51,5.88,0,0,0,0,0,0,0,1,0,0
32,3227,72.56,2163-12-07-12-48-13.515425,29.0,0.02,0.36,0.0,0.0,5.88,0.37,1.0,0,0,0,0,0,0,0,1,0,0
33,3228,72.94,2163-12-07-12-48-13.895425,78.0,0.02,0.36,0.0,0.0,1.0,-4.15,-2.93,0,0,0,0,0,0,0,1,0,0
34,3229,73.32,2163-12-07-12-48-14.275425,69.0,0.2,0.1,13.0,0.19,-2.93,N/A,N/A,0,0,0,0,0,0,0,1,0,0
35,3230,73.62,2163-12-07-12-48-14.575425,33.0,1.94,0.26,230.0,6.97,N/A,-17.88,5.84,0,0,0,0,0,0,0,1,0,0
36,3231,75.82,2163-12-07-12-48-16.775425,68.0,0.02,0.72,0.0,0.0,5.84,5.31,6.02,0,0,0,0,0,0,0,1,0,0
37,3232,76.56,2163-12-07-12-48-17.515425,68.0,0.02,0.44,0.0,0.0,6.02,-2.69,-2.17,0,0,0,0,0,0,0,1,0,0
38,3233,77.02,2163-12-07-12-48-17.975425,89.0,0.02,0.34,0.0,0.0,-2.17,0.7,2.79,0,0,0,0,0,0,0,1,0,0
39,3234,77.38,2163-12-07-12-48-18.335425,1.0,1.2,0.04,99.0,99.0,2.79,N/A,N/A,0,0,0,0,0,0,0,1,0,0
40,3235,78.62,2163-12-07-12-48-19.575425,108.0,0.02,0.6,0.0,0.0,N/A,5.2,6.17,0,0,0,0,0,0,0,1,0,0
41,3236,79.24,2163-12-07-12-48-20.195425,13.0,0.3,0.2,7.0,0.54,6.17,4.76,5.55,0,0,0,0,0,0,0,1,0,0
42,3237,79.74,2163-12-07-12-48-20.695425,14.0,0.02,0.6,0.0,0.0,5.55,5.16,5.23,0,0,0,0,0,0,0,1,0,0
43,3238,80.36,2163-12-07-12-48-21.315425,19.0,1.8,0.2,49.0,2.58,5.23,-1.28,6.0,0,0,0,0,0,0,0,1,0,0
44,3239,82.36,2163-12-07-12-48-23.315425,66.0,2.18,0.18,57.0,0.86,6.0,3.67,4.93,0,0,0,0,0,0,0,1,0,0
