BN,vent BN,rel time,abs time,TVi,e-time,TVe,TVe/TVi ratio,PEEP-prev,minP,PEEP,dbl,mt,bs,dtpi,dtpa,fa,co,su,vd,aNOS,wNOS,vc,pc,prvc,ps,cpap_sbt,other_mode
1,37865,0.04,40:51.9,441,1.86,445,1.01,N/A,8.57,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,37866,2.8,40:54.7,450,2.06,463,1.03,5.48,8.86,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,37867,5.74,40:57.6,449,2.24,476,1.06,5.62,8.63,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,37868,8.82,41:00.7,458,2.14,450,0.98,5.57,8.7,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,37869,11.9,41:03.8,465,2.28,478,1.03,5.57,8.53,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,37870,15.16,41:07.1,433,1.84,411,0.95,5.58,8.6,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,37871,17.86,41:09.8,455,1.96,458,1.01,5.64,8.57,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,37872,20.76,41:12.7,446,1.94,434,0.97,5.55,8.66,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,37873,23.62,41:15.5,480,1.9,474,0.99,5.64,8.39,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,37874,26.46,41:18.4,453,1.68,443,0.98,5.62,8.74,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,37875,28.98,41:20.9,475,1.8,475,1,5.46,8.53,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,37876,31.68,41:23.6,482,1.9,486,1.01,5.59,8.67,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,37877,34.54,41:26.4,439,1.94,434,0.99,5.61,8.53,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,37878,37.3,41:29.2,462,2.02,465,1.01,5.49,8.36,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,37879,40.2,41:32.1,464,1.76,448,0.97,5.7,8.45,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,37880,42.86,41:34.8,478,1.84,479,1,5.62,8.48,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,37881,45.64,41:37.5,464,2.1,497,1.07,5.51,8.75,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,37882,48.66,41:40.6,482,1.84,474,0.98,5.54,8.49,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
